08 04 01 00 0e 
08 04 01 00 10 
08 04 01 00 11 
08 04 01 00 16 
08 04 01 01 10 
08 04 01 01 11 
08 04 01 01 16 
08 04 01 03 0d 
08 04 01 03 11 
08 04 01 03 19 
08 04 01 03 27 
08 04 01 04 10 
08 04 01 04 11 
08 04 01 04 1f 
08 04 01 0e 11 
08 04 01 0e 19 
08 04 01 0e 27 
08 04 01 1b 
08 04 01 1c 
08 04 01 25 1f 
08 04 02 0b 11 
08 04 02 0b 20 
08 04 02 0e 20 
08 04 0a 00 00 
08 04 0a 03 1f 
08 04 0a 03 27 
08 04 0a 25 10 
08 04 0b 13 
08 04 0b 15 
08 04 0b 1b 
08 04 0b 1c 
08 04 0b 25 
08 04 0c 0b 
08 04 0c 13 
08 04 0c 1b 
08 04 0c 24 
08 04 0d 01 10 
08 04 0d 01 19 
08 04 0d 03 00 
08 04 0d 03 01 
08 04 0d 03 10 
08 04 0d 03 19 
08 04 0d 03 20 
08 04 0d 0c 19 
08 04 0d 0d 10 
08 04 0d 1b 10 
08 04 0d 24 
08 04 0e 00 00 
08 04 0e 00 10 
08 04 0e 00 19 
08 04 0e 01 19 
08 04 0e 0e 19 
08 04 0e 14 
08 04 0e 1b 
08 04 0f 0b 
08 04 0f 15 
08 04 0f 1b 
08 04 0f 24 
08 04 10 00 01 
08 04 10 00 02 
08 04 10 00 0d 
08 04 10 00 18 
08 04 10 00 19 
08 04 10 00 1e 
08 04 10 00 1f 
08 04 10 00 27 
08 04 10 01 01 
08 04 10 01 02 
08 04 10 01 0d 
08 04 10 01 18 
08 04 10 01 19 
08 04 10 01 1e 
08 04 10 01 1f 
08 04 10 01 27 
08 04 10 02 1f 
08 04 10 03 0d 
08 04 10 03 20 
08 04 10 0d 0d 
08 04 10 0e 19 
08 04 10 0e 1f 
08 04 10 0e 20 
08 04 10 13 20 
08 04 10 1b 0d 
08 04 10 1b 1f 
08 04 10 1c 15 
08 04 10 1c 1f 
08 04 10 25 1f 
08 04 11 00 00 
08 04 11 00 01 
08 04 11 00 14 
08 04 11 00 17 
08 04 11 00 19 
08 04 11 00 27 
08 04 11 01 01 
08 04 11 01 10 
08 04 11 01 19 
08 04 11 01 27 
08 04 11 03 01 
08 04 11 0b 1e 
08 04 11 0e 01 
08 04 11 0e 19 
08 04 11 0e 1e 
08 04 16 0b 20 
08 04 16 0e 20 
08 04 17 01 0a 
08 04 17 0e 20 
08 04 18 00 10 
08 04 18 01 10 
08 04 18 0b 20 
08 04 19 00 0d 
08 04 19 00 0e 
08 04 19 00 10 
08 04 19 00 11 
08 04 19 00 12 
08 04 19 00 27 
08 04 19 01 0d 
08 04 19 01 0e 
08 04 19 01 10 
08 04 19 01 11 
08 04 19 01 27 
08 04 19 03 01 
08 04 19 03 0d 
08 04 19 03 27 
08 04 19 0e 01 
08 04 19 0e 0e 
08 04 19 0e 10 
08 04 19 0e 11 
08 04 19 0e 27 
08 04 19 1b 
08 04 19 1c 27 
08 04 1f 00 01 
08 04 1f 00 0d 
08 04 1f 00 10 
08 04 1f 00 1a 
08 04 1f 01 10 
08 04 1f 01 1a 
08 04 1f 02 10 
08 04 1f 03 0a 
08 04 1f 03 20 
08 04 1f 0e 10 
08 04 1f 1b 10 
08 04 1f 1c 02 
08 04 1f 25 01 
08 04 1f 25 10 
08 04 20 00 01 
08 04 20 00 0a 
08 04 20 00 0b 
08 04 20 00 19 
08 04 20 00 1f 
08 04 20 01 10 
08 04 20 02 0a 
08 04 20 02 11 
08 04 20 03 0a 
08 04 20 03 0d 
08 04 20 03 10 
08 04 20 03 11 
08 04 20 03 1f 
08 04 20 0b 02 
08 04 20 0b 11 
08 04 20 0b 25 
08 04 20 0d 11 
08 04 20 0e 02 
08 04 20 0e 10 
08 04 20 0e 16 
08 04 20 0e 17 
08 04 20 0e 19 
08 04 20 0e 25 
08 04 20 13 18 
08 04 20 13 19 
08 04 20 1d 19 
08 04 20 25 01 
08 04 20 25 02 
08 04 20 25 10 
08 04 20 25 19 
08 04 27 00 01 
08 04 27 01 10 
08 04 27 01 11 
08 04 27 01 19 
08 04 27 03 01 
08 04 27 03 0a 
08 04 27 03 19 
08 04 27 0e 01 
08 04 27 0e 19 
08 04 27 1b 
08 0b 00 02 19 
